STRAIN	contigs	bases	tmRNA	sig_peptide	tRNA	rRNA	repeat region	CDS
PA_104	61	6639538		720	68	3	2	6066
PA_105	58	6442674		701	67	3	2	5888
PA_107	72	6316678	1	690	69	3	3	5744
PA_108	54	6474245	1	703	67	3	3	5874
PA_110	54	6288987	1	687	67	3	2	5716
PA_114	61	6424175	1	712	69	3	2	5875
PA_115	60	6426292	1	712	69	3	2	5879
PA_116	75	6637376	1	712	69	3	2	6057
PA_127	116	6699821	1	719	65	3	2	6161
PA_90	40	6213254	1	689	72	3	3	5649
PA_93	72	6323249	1	698	68	3	3	5731
PA_94	92	6811870	1	714	67	3	2	6187
